Brand,Model,Engine_Type,Transmission,Driven_Kms,Price_In_Lakhs,Location,State,is_BH_series,Car_Age,is_top_trim
Tata,Tiago,Petrol,Manual,34367,3.69,Delhi,Delhi,0,5,1
Jeep,Compass,Petrol,Manual,61418,7.4,Delhi,Uttar Pradesh,0,6,1
Hyundai,Creta,Petrol,Manual,77237,4.66,Delhi,Delhi,0,8,1
Honda,Amaze,Diesel,Manual,91811,4.88,Delhi,Haryana,0,6,0
Ford,Figo Aspire,Petrol,Manual,63585,2.62,Delhi,Delhi,0,8,1
Maruti,Baleno,Petrol,Manual,47630,3.75,Delhi,Delhi,0,6,0
Tata,Safari,Diesel,Auto,71206,11.54,Delhi,Uttar Pradesh,0,4,1
Hyundai,Other,Petrol,Auto,27493,7.94,Delhi,Uttar Pradesh,0,1,1
Maruti,Wagon R 1.0,Petrol,Manual,98532,1.23,Delhi,Haryana,0,12,0
Maruti,Celerio,Petrol,Auto,90217,1.73,Delhi,Haryana,0,10,1
Honda,City,Petrol,Manual,72093,4.55,Delhi,Uttar Pradesh,0,7,0
Other,Redi Go,Petrol,Manual,57959,1.41,Delhi,Haryana,0,8,0
Honda,City,Petrol,Auto,40409,7.19,Delhi,Haryana,0,6,1
Ford,Ecosport,Petrol,Manual,33076,4.95,Delhi,Haryana,0,6,1
Ford,Ecosport,Diesel,Manual,59282,5.6,Delhi,Haryana,0,4,0
Maruti,Baleno,Petrol,Manual,61831,3.46,Delhi,Delhi,0,7,0
Hyundai,Elite i20,Petrol,Manual,79297,3.3,Delhi,Uttar Pradesh,0,8,1
Tata,Tiago,Petrol,Auto,68178,2.89,Delhi,Delhi,0,7,0
Hyundai,Creta,Diesel,Manual,98937,8.78,Delhi,Uttar Pradesh,0,4,0
Maruti,Ciaz,Petrol,Manual,76034,3.2,Delhi,Delhi,0,11,1
Honda,City,Diesel,Manual,98663,6.88,Delhi,Uttar Pradesh,0,5,0
MG,ASTOR,Petrol,Manual,17169,7.92,Delhi,Uttar Pradesh,0,3,0
Tata,Harrier,Diesel,Manual,92436,7.58,Delhi,Haryana,0,5,0
MG,HECTOR,Petrol,Auto,77561,7.39,Delhi,Delhi,0,6,1
Tata,Tiago,Petrol,Auto,87699,3.1,Delhi,Haryana,0,6,0
Hyundai,Creta,Petrol,Manual,53363,4.24,Delhi,Delhi,0,9,0
Tata,NEXON,Petrol,Manual,76538,4.11,Delhi,Haryana,0,6,1
MG,HECTOR PLUS,Diesel,Manual,87126,9.75,Delhi,Uttar Pradesh,0,4,0
Mahindra,XUV700,Petrol,Manual,25176,13.19,Delhi,Delhi,0,2,0
Hyundai,VENUE,Petrol,Manual,72545,5.5,Delhi,Haryana,0,4,0
Hyundai,Grand i10,Petrol,Manual,48752,2.59,Delhi,Haryana,0,8,0
Honda,City,Petrol,Auto,28542,4.66,Delhi,Haryana,0,8,1
Hyundai,VENUE,Petrol,Manual,34800,5.51,Delhi,Haryana,0,4,0
Renault,Kwid,Petrol,Manual,51234,1.5,Delhi,Haryana,0,9,0
Nissan,MAGNITE,Petrol,Auto,33922,5.05,Delhi,Uttar Pradesh,0,3,1
Ford,Ecosport,Petrol,Manual,55779,3.21,Delhi,Haryana,0,9,1
KIA,SELTOS,Petrol,Manual,93352,7.68,Delhi,Uttar Pradesh,0,4,0
Tata,Harrier,Diesel,Auto,75732,10.53,Delhi,Uttar Pradesh,0,3,1
KIA,SELTOS,Petrol,Manual,19873,8.37,Delhi,Delhi,0,3,1
Tata,NEXON,Petrol,Auto,17261,7.66,Delhi,Delhi,0,2,1
Tata,Tiago,Petrol,Manual,47949,3.79,Delhi,Uttar Pradesh,0,3,0
Renault,Duster,Petrol,Auto,47541,6.5,Delhi,Delhi,0,4,1
Maruti,Ciaz,Petrol,Auto,121500,4.03,Delhi,Delhi,0,8,1
Tata,NEXON,Petrol,Manual,37436,4.29,Delhi,Haryana,0,5,0
Hyundai,NEW SANTRO,Petrol,Auto,45325,2.98,Delhi,Uttar Pradesh,0,7,1
Maruti,Swift,Petrol,Manual,32363,2.4,Delhi,Haryana,0,10,0
KIA,SONET,Petrol,Auto,40443,6.3,Delhi,Haryana,0,5,1
Hyundai,Other,Petrol,Auto,78350,12.33,Delhi,Haryana,0,4,1
Maruti,S PRESSO,Petrol,Manual,91282,2.79,Delhi,Uttar Pradesh,0,3,0
Tata,ALTROZ,Petrol,Manual,61037,4.6,Delhi,Haryana,0,4,0
Tata,ALTROZ,Petrol,Manual,81966,3.51,Delhi,Haryana,0,4,0
Hyundai,Elite i20,Petrol,Manual,99016,4.04,Delhi,Delhi,0,5,1
